,Routes,Path,Signal_power (W),Noise_power (W),Latency (s),SNR (dB)
187,D->A,DCEFBA,0.001,1.2279126305984198e-05,0.010566639699207361,19.108325333568004
188,D->A,DECA,0.001,2.7046030513845865e-06,0.00604341847455863,25.678964663221045
189,D->A,DEFBA,0.001,6.728126382841188e-06,0.008900040384974973,21.721058592352595
190,D->A,DFBA,0.001,2.7700037003063583e-06,0.005856330308272415,25.57519650783364
191,D->A,DFECA,0.001,6.779411675945063e-06,0.009184366836282562,21.688079930026763
192,D->B,DAB,0.001,1.1151307011796648e-06,0.0036717102294323454,29.526742272575454
193,D->B,DACEFB,0.001,1.2965697114217455e-05,0.01127174863010126,18.872041279714644
194,D->B,DB,0.001,4.1231056256176617e-07,0.00206155281280883,33.84775539310863
195,D->B,DCAB,0.001,2.744457198829384e-06,0.005942250835824648,25.615435378673045
196,D->B,DCEFB,0.001,5.9627864576954625e-06,0.008798872746240992,22.24550743547959
197,D->B,DECAB,0.001,5.762759493362447e-06,0.007811185427524999,22.393695051601195
198,D->B,DEFB,0.001,3.187286496123957e-06,0.007132273432008606,24.96578897275088
199,D->B,DFB,0.001,1.2082251548565423e-06,0.004088563355306047,29.17852126641923
200,D->B,DFECAB,0.001,1.39123767424834e-05,0.01095213378924893,18.565986702975902
201,D->C,DABFEC,0.001,1.2220331436779397e-05,0.010667807337941343,19.12917015107179
202,D->C,DAC,0.001,1.235918959611648e-06,0.004275651521592262,29.08010005418194
203,D->C,DBAC,0.001,2.8306906804588694e-06,0.006201028010901484,25.48107584929938
204,D->C,DBFEC,0.001,6.597770327836207e-06,0.009057649921317829,21.806028065671917
205,D->C,DC,0.001,3.60555127546399e-07,0.0018027756377319946,34.43028323846582
206,D->C,DEC,0.001,1.1151307011796648e-06,0.0036717102294323454,29.526742272575454
207,D->C,DEFBAC,0.001,1.3930594414707633e-05,0.011271748630101257,18.56030351952218
208,D->C,DFBAC,0.001,6.014349049637974e-06,0.0082280385533987,22.20811370726233
209,D->C,DFEC,0.001,3.1525350134599035e-06,0.006812658591156278,25.013400812598814
210,D->E,DABFE,0.001,5.933389023093062e-06,0.008900040384974973,22.266971761789964
211,D->E,DACE,0.001,2.8253913098165696e-06,0.00604341847455863,25.489213949506965
212,D->E,DBACE,0.001,6.014934751511013e-06,0.007968794963867851,22.20769079415145
213,D->E,DBFE,0.001,3.1221084686214667e-06,0.007289882968351459,25.05552012706833
214,D->E,DCABFE,0.001,1.2450695013691937e-05,0.011170580991367276,19.048064050191254
215,D->E,DCE,0.001,1.074663645686072e-06,0.003570542590698363,29.68727442427533
216,D->E,DE,0.001,3.807886552931955e-07,0.001903943276465977,34.193159988825116
217,D->E,DFBACE,0.001,1.238225148986922e-05,0.009995805506365068,19.072003794901878
218,D->E,DFE,0.001,1.3994908114333149e-06,0.005044891638189909,28.54029948613973
219,D->F,DABF,0.001,2.6574615896252063e-06,0.005807711165761728,25.755330039577697
220,D->F,DACEF,0.001,6.269248463475789e-06,0.009135747693771876,22.02784517818054
221,D->F,DBACEF,0.001,1.2648335346864676e-05,0.011061124183081097,18.979666284203947
222,D->F,DBF,0.001,1.2518213123894088e-06,0.004197553749138213,29.024576588105823
223,D->F,DCABF,0.001,5.916114584924644e-06,0.00807825177215403,22.279634230594315
224,D->F,DCEF,0.001,2.767793135214793e-06,0.006662871809911609,25.578663721603515
225,D->F,DECABF,0.001,1.195271917399077e-05,0.009947186363854381,19.225332840110006
226,D->F,DEF,0.001,1.3800431544290402e-06,0.004996272495679223,28.60107332847047
227,D->F,DF,0.001,3.905124837953328e-07,0.0019525624189766636,34.08365078158597
228,E->A,ECA,0.001,1.1814484302118046e-06,0.0041394751980926535,29.275852304118388
229,E->A,ECDA,0.001,2.5161124727590888e-06,0.00547448586716434,25.99269949392555
230,E->A,ECDBA,0.001,5.448822150648593e-06,0.007399862356473562,22.63697367220217
231,E->A,ECDFBA,0.001,1.131129897016993e-05,0.009426872898970779,19.464875185773263
232,E->A,EDA,0.001,1.1423659658795865e-06,0.003807886552931954,29.421947441628497
233,E->A,EDBA,0.001,2.701329136889588e-06,0.0057332630422411756,25.68422497031966
234,E->A,EDCA,0.001,2.7186065252908368e-06,0.006078427159324256,25.65653645027694
235,E->A,EDFBA,0.001,5.816312942651922e-06,0.007760273584738392,22.353522346093754
236,E->A,EFBA,0.001,3.6818171404956235e-06,0.0069960971085089975,24.33937784774365
237,E->A,EFBDA,0.001,7.861937280221428e-06,0.009193826244817436,21.044704251511867
238,E->A,EFBDCA,0.001,1.615774915397452e-05,0.011464366851209738,17.916191384928958
239,E->A,EFDA,0.001,3.635676998254458e-06,0.006948834914655886,24.394147074376527
240,E->A,EFDBA,0.001,7.687951201639331e-06,0.008874211403965108,21.141893819636035
241,E->A,EFDCA,0.001,7.70522859004058e-06,0.009219375521048187,21.132144725950578
242,E->B,ECAB,0.001,2.716450251016883e-06,0.005907242151059022,25.659982442126967
243,E->B,ECADB,0.001,5.899681593995376e-06,0.00810497128736746,22.291714266124806
244,E->B,ECADFB,0.001,1.2182967217723763e-05,0.010131981829864677,19.142469244007273
245,E->B,ECDAB,0.001,5.385778336111451e-06,0.007242252820130708,22.687515249283436
246,E->B,ECDB,0.001,2.5476343800276596e-06,0.005632095403507193,25.938628989936483
247,E->B,ECDFB,0.001,5.478872789788328e-06,0.00765910594600441,22.613087830356918
248,E->B,EDAB,0.001,2.6382853223524467e-06,0.005575653505898323,25.786782386522248
249,E->B,EDB,0.001,1.1738878731481571e-06,0.003965496089274807,29.303733838368014
250,E->B,EDCAB,0.001,5.790766441174947e-06,0.007846194112290625,22.372639511008934
251,E->B,EDFB,0.001,2.731379776029324e-06,0.0059925066317720235,25.636179105644203
252,E->B,EFB,0.001,1.6641318749511749e-06,0.005228330155542629,27.7881226080116
253,E->B,EFDAB,0.001,7.62490738710219e-06,0.008716601867622254,21.177654269339286
254,E->B,EFDB,0.001,3.6671989055230284e-06,0.007106444450998739,24.356655336640642
255,E->B,EFDCAB,0.001,1.5764010570674436e-05,0.010987142474014555,18.023332825869446
256,E->C,EC,0.001,3.535533905932738e-07,0.0017677669529663686,34.51544993495971
257,E->C,EDAC,0.001,2.75907358078443e-06,0.0061795947980582385,25.592367173161968
258,E->C,EDBAC,0.001,5.8769999228044324e-06,0.00810497128736746,22.308443149901457
259,E->C,EDC,0.001,1.12213243813279e-06,0.0037067189141979716,29.49955883047825
260,E->C,EDFBAC,0.001,1.21069675343291e-05,0.010131981829864677,19.16964622177168
261,E->C,EFBAC,0.001,7.837975930016504e-06,0.009367805353635282,21.057960745498097
262,E->C,EFBADC,0.001,1.5849401000115285e-05,0.01070281602270697,17.999871465225915
263,E->C,EFBDAC,0.001,1.619821620946811e-05,0.01156553448994372,17.90532808484454
264,E->C,EFBDC,0.001,7.84170375247463e-06,0.009092658606083454,21.05589568704491
265,E->C,EFDAC,0.001,7.745695645534172e-06,0.00932054315978217,21.109395719073728
266,E->C,EFDBAC,0.001,1.585024405230392e-05,0.011245919649091392,17.99964046395574
267,E->C,EFDC,0.001,3.6154434705076612e-06,0.006847667275921903,24.418384245155316
268,E->D,ECABD,0.001,5.845211064595532e-06,0.007968794963867851,22.331998022892762
269,E->D,ECABFD,0.001,1.2110713862394618e-05,0.009995805506365068,19.168302567445256
270,E->D,ECAD,0.001,2.7436855157168048e-06,0.00604341847455863,25.616656694288224
271,E->D,ECD,0.001,1.0676619087329466e-06,0.003570542590698363,29.715662514435678
272,E->D,ED,0.001,3.807886552931955e-07,0.001903943276465977,34.193159988825116
273,E->D,EFBACD,0.001,1.6036506987579408e-05,0.011170580991367278,17.94890222162872
274,E->D,EFBAD,0.001,7.744422936284443e-06,0.008900040384974975,21.110109374818258
275,E->D,EFBD,0.001,3.740574312464116e-06,0.007289882968351459,24.27061712883596
276,E->D,EFD,0.001,1.6274441714806312e-06,0.005044891638189909,27.884939007221433
277,E->F,ECABDF,0.001,1.2080934612986397e-05,0.009921357382844515,19.178994662478615
278,E->F,ECABF,0.001,5.8601006892996424e-06,0.008043243087388404,22.320949217922266
279,E->F,ECADBF,0.001,1.2226563375256627e-05,0.010240972223696843,19.12695596675787
280,E->F,ECADF,0.001,5.8778835152289425e-06,0.007995980893535294,22.30779024795315
281,E->F,ECDABF,0.001,1.1198756859488778e-05,0.009378253756460092,19.508301843859684
282,E->F,ECDBF,0.001,5.522468947321196e-06,0.007768096339836576,22.578667174746293
283,E->F,ECDF,0.001,2.5258363012612257e-06,0.005523105009675027,25.975947993716094
284,E->F,EDABF,0.001,5.70377083197077e-06,0.007711654442227706,22.43837932035907
285,E->F,EDBF,0.001,2.774975933562191e-06,0.00610149702560419,25.567407790157052
286,E->F,EDCABF,0.001,1.200873306961577e-05,0.009982195048620008,19.20502808575292
287,E->F,EDF,0.001,1.1520897943817236e-06,0.0038565056954426406,29.38513670492043
288,E->F,EF,0.001,6.184658438426492e-07,0.0030923292192132456,32.086842802551814
289,F->A,FBA,0.001,1.2079537651250272e-06,0.0039037678892957514,29.179496881779198
290,F->A,FBDA,0.001,2.914210529480234e-06,0.00610149702560419,25.354790769693093
291,F->A,FBDCA,0.001,6.262295652492133e-06,0.008372037631996492,22.032664325327637
292,F->A,FBDECA,0.001,1.2838290548132741e-05,0.010240972223696843,18.91492799860425
293,F->A,FDA,0.001,1.161813622883861e-06,0.0038565056954426406,29.348635354956976
294,F->A,FDBA,0.001,2.740224450898137e-06,0.005781882184751863,25.62213862802158
295,F->A,FDCA,0.001,2.7575018392993858e-06,0.006127046301834943,25.594841892060643
296,F->A,FDECA,0.001,5.828702921747248e-06,0.007995980893535294,22.34428079306348
297,F->A,FECA,0.001,3.6553118055824016e-06,0.007231804417305898,24.37075570917313
298,F->A,FECDA,0.001,7.463839223500282e-06,0.008566815086377586,21.270377241783134
299,F->A,FECDBA,0.001,1.534427565213098e-05,0.010492191575686809,18.140536082231964
300,F->A,FEDA,0.001,3.6162293412501833e-06,0.0069002157721452,24.41744034368966
301,F->A,FEDBA,0.001,7.64905588763078e-06,0.00882559226145442,21.163921659046146
302,F->A,FEDCA,0.001,7.66633327603203e-06,0.009170756378537502,21.154123047274396
