,Path,1,2,3,4,5,6,7,8,9,10
263,EFBDAC,0,0,0,0,0,0,0,0,0,1
264,EFBDC,0,0,0,0,0,0,0,0,0,0
265,EFDAC,0,0,0,0,0,0,0,0,0,1
266,EFDBAC,0,0,0,0,0,0,0,0,0,0
267,EFDC,0,0,0,0,0,0,0,0,0,0
268,ECABD,0,0,0,0,0,1,1,1,1,1
269,ECABFD,0,0,0,0,0,1,1,1,1,1
270,ECAD,0,0,0,0,0,1,1,1,1,1
271,ECD,0,0,0,0,1,1,1,1,1,1
272,ED,0,0,0,0,0,0,1,1,1,1
273,EFBACD,0,0,0,0,0,0,0,1,1,1
274,EFBAD,0,0,0,0,0,0,0,1,1,1
275,EFBD,0,0,0,0,0,0,0,1,1,1
276,EFD,0,0,0,0,0,0,0,1,1,1
277,ECABDF,0,0,0,0,0,0,0,0,1,1
278,ECABF,0,0,0,0,0,1,1,1,1,1
279,ECADBF,0,0,0,0,0,0,0,0,0,0
280,ECADF,0,0,0,0,0,0,0,0,1,1
281,ECDABF,0,0,0,0,0,0,0,0,0,1
282,ECDBF,0,0,0,0,0,0,0,0,0,0
283,ECDF,0,0,0,0,0,0,0,0,1,1
284,EDABF,0,0,0,0,0,0,0,0,0,1
285,EDBF,0,0,0,0,0,0,0,0,0,0
286,EDCABF,0,0,0,0,0,0,0,0,0,0
287,EDF,0,0,0,0,0,0,0,0,1,1
288,EF,0,0,0,0,0,0,0,1,1,1
289,FBA,0,0,0,1,1,1,1,1,1,1
290,FBDA,0,0,0,0,0,0,0,0,0,1
291,FBDCA,0,0,0,0,0,0,0,0,0,0
292,FBDECA,0,0,0,0,0,0,0,0,0,0
293,FDA,0,0,0,0,0,0,0,0,0,1
294,FDBA,0,0,0,0,0,0,0,0,0,0
295,FDCA,0,0,0,0,0,0,0,0,0,0
296,FDECA,0,0,0,0,0,0,0,0,0,0
297,FECA,0,0,0,0,0,1,1,1,1,1
298,FECDA,0,0,0,0,0,0,0,0,0,1
299,FECDBA,0,0,0,0,0,0,0,0,0,0
300,FEDA,0,0,0,0,0,0,0,0,0,1
301,FEDBA,0,0,0,0,0,0,0,0,0,0
302,FEDCA,0,0,0,0,0,0,0,0,0,0
303,FB,0,0,1,1,1,1,1,1,1,1
304,FDAB,0,0,0,0,0,0,0,0,0,1
305,FDB,0,0,0,0,0,0,0,0,0,0
306,FDCAB,0,0,0,0,0,0,0,0,0,0
307,FDECAB,0,0,0,0,0,0,0,0,0,0
308,FECAB,0,0,0,0,0,1,1,1,1,1
309,FECADB,0,0,0,0,0,0,0,0,0,0
310,FECDAB,0,0,0,0,0,0,0,0,0,1
311,FECDB,0,0,0,0,0,0,0,0,0,0
312,FEDAB,0,0,0,0,0,0,0,0,0,1
313,FEDB,0,0,0,0,0,0,0,0,0,0
314,FEDCAB,0,0,0,0,0,0,0,0,0,0
315,FBAC,0,0,0,0,1,1,1,1,1,1
316,FBADC,0,0,0,0,0,0,0,0,0,0
317,FBADEC,0,0,0,0,0,0,0,0,0,0
318,FBDAC,0,0,0,0,0,0,0,0,0,1
319,FBDC,0,0,0,0,0,0,0,0,0,0
320,FBDEC,0,0,0,0,0,0,0,0,0,0
321,FDAC,0,0,0,0,0,0,0,0,0,1
322,FDBAC,0,0,0,0,0,0,0,0,0,0
323,FDC,0,0,0,0,0,0,0,0,0,0
324,FDEC,0,0,0,0,0,0,0,0,0,0
325,FEC,0,0,0,0,1,1,1,1,1,1
326,FEDAC,0,0,0,0,0,0,0,0,0,1
327,FEDBAC,0,0,0,0,0,0,0,0,0,0
328,FEDC,0,0,0,0,0,0,0,0,0,0
329,FBACD,0,0,0,0,1,1,1,1,1,1
330,FBACED,0,0,0,0,0,0,1,1,1,1
331,FBAD,0,0,0,1,1,1,1,1,1,1
332,FBD,0,0,0,0,1,1,1,1,1,1
333,FD,0,0,0,0,0,1,1,1,1,1
334,FECABD,0,0,0,0,0,1,1,1,1,1
335,FECAD,0,0,0,0,0,1,1,1,1,1
336,FECD,0,0,0,0,1,1,1,1,1,1
337,FED,0,0,0,0,0,0,1,1,1,1
338,FBACDE,0,0,0,0,0,0,0,0,0,0
339,FBACE,0,0,0,0,1,1,1,1,1,1
340,FBADCE,0,0,0,0,0,0,0,0,0,0
341,FBADE,0,0,0,0,0,0,0,0,0,0
342,FBDACE,0,0,0,0,0,0,0,0,0,1
343,FBDCE,0,0,0,0,0,0,0,0,0,0
344,FBDE,0,0,0,0,0,0,0,0,0,0
345,FDACE,0,0,0,0,0,0,0,0,0,1
346,FDBACE,0,0,0,0,0,0,0,0,0,0
347,FDCE,0,0,0,0,0,0,0,0,0,0
348,FDE,0,0,0,0,0,0,0,0,0,0
349,FE,0,0,0,1,1,1,1,1,1,1
